"Title","Global and regional averages of women in national parliaments","",""
"Reference period","January 2026","",""
"Structure","-","",""
"Region","Any","",""
"Publisher","Inter-Parliamentary Union","",""
"Copyright and attribution","Inter-Parliamentary Union. Terms of use: https://www.ipu.org/terms-use","",""
"Licence","This work is licensed under Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International 

https://creativecommons.org/licenses/by-nc-sa/4.0/ ","",""
"Website","https://data.ipu.org/women-averages-global","",""
"URL","https://data.ipu.org/export-report/women-averages-global/csv?date_month=01&date_year=2026","",""
"API URL","http://api.data.ipu.org/v1/reports/women-averages?year=2026&month=01","",""
"Data dictionary","https://data.ipu.org/data-dictionary/","",""
"Date accessed","2026-02-27 01:02:35","",""
"
"
"","Lower chamber and unicameral","Upper chamber","All chambers"
"Total MPs","36920","7141","44061"
"Gender breakdown known for","36854","7141","43995"
"Men","26759","5153","31912"
"Women","10095","1988","12083"
"Percentage of women","27.4%","27.8%","27.5%"
